날짜,중국,중국 외 아시아,유럽,미주,아프리카,호주,검역단계,지역사회,총 신규 해외유입,해외유입 누계,국내발생,국내발생 누계,총 누계
2020-01-20,1,0,0,0,0,0,1,0,1,1,0,0,1
2020-01-21,0,0,0,0,0,0,0,0,0,1,0,0,1
2020-01-22,0,0,0,0,0,0,0,0,0,1,0,0,1
2020-01-23,0,0,0,0,0,0,0,0,0,1,0,0,1
2020-01-24,1,0,0,0,0,0,1,0,1,2,0,0,2
2020-01-25,0,0,0,0,0,0,0,0,0,2,0,0,2
2020-01-26,1,0,0,0,0,0,0,1,1,3,0,0,3
2020-01-27,1,0,0,0,0,0,0,1,1,4,0,0,4
2020-01-28,0,0,0,0,0,0,0,0,0,4,0,0,4
2020-01-29,0,0,0,0,0,0,0,0,0,4,0,0,4
2020-01-30,1,0,0,0,0,0,0,1,1,5,1,1,6
2020-01-31,2,0,0,0,0,0,0,2,2,7,3,4,11
2020-02-01,0,1,0,0,0,0,0,1,1,8,0,4,12
2020-02-02,2,0,0,0,0,0,0,0,2,10,1,5,15
2020-02-03,0,0,0,0,0,0,0,0,0,10,0,5,15
2020-02-04,0,1,0,0,0,0,0,1,1,11,0,5,16
2020-02-05,0,2,0,0,0,0,0,2,2,13,1,6,19
2020-02-06,1,0,0,0,0,0,0,1,1,14,3,9,23
2020-02-07,1,0,0,0,0,0,0,1,1,15,0,9,24
2020-02-08,0,0,0,0,0,0,0,0,0,15,1,10,25
2020-02-09,2,0,0,0,0,0,0,2,2,17,0,10,27
2020-02-10,0,0,0,0,0,0,0,0,0,17,0,10,27
2020-02-11,0,0,0,0,0,0,0,0,0,17,1,11,28
2020-02-12,0,0,0,0,0,0,0,0,0,17,0,11,28
2020-02-13,0,0,0,0,0,0,0,0,0,17,0,11,28
2020-02-14,0,0,0,0,0,0,0,0,0,17,0,11,28
2020-02-15,0,0,0,0,0,0,0,0,0,17,0,11,28
2020-02-16,0,0,0,0,0,0,0,0,0,17,1,12,29
2020-02-17,0,0,0,0,0,0,0,0,0,17,1,13,30
2020-02-18,0,0,0,0,0,0,0,0,0,17,1,14,31
2020-02-19,0,0,0,0,0,0,0,0,0,17,15,29,46
2020-02-20,0,0,0,0,0,0,0,0,0,17,58,87,104
2020-02-21,0,0,0,1,0,0,0,0,1,18,99,186,204
2020-02-22,0,1,0,0,0,0,0,1,1,19,228,414,433
2020-02-23,0,2,0,0,0,0,0,2,2,21,168,582,603
2020-02-24,0,0,0,0,0,0,0,0,0,21,230,812,833
2020-02-25,1,1,0,0,0,0,0,2,2,23,142,954,977
2020-02-26,0,0,0,0,0,0,0,0,0,23,284,1238,1261
2020-02-27,0,1,0,0,0,0,0,1,1,24,504,1742,1766
2020-02-28,0,0,0,0,0,0,0,0,0,24,571,2313,2337
